loyalty_number,country,province,city,postal_code,postal_code_valid,gender,education,salary,salary_reported,marital_status,loyalty_card,clv,enrollment_type,enrollment_date,cancellation_date,is_active,enrollment_cohort,months_to_cancellation,has_multiple_activity
480934,Canada,Ontario,Toronto,M2Z 4K1,TRUE,Female,Bachelor,83236.0,TRUE,Married,Star,3839.14,Standard,2016-02-01,,TRUE,2016-02,,FALSE
549612,Canada,Alberta,Edmonton,T3G 6Y6,TRUE,Male,College,,FALSE,Divorced,Star,3839.61,Standard,2016-03-01,,TRUE,2016-03,,FALSE
429460,Canada,British Columbia,Vancouver,V6E 3D9,FALSE,Male,College,,FALSE,Single,Star,3839.75,Standard,2014-07-01,2018-01-01,FALSE,2014-07,42,FALSE
608370,Canada,Ontario,Toronto,P1W 1K4,TRUE,Male,College,,FALSE,Single,Star,3839.75,Standard,2013-02-01,,TRUE,2013-02,,FALSE
530508,Canada,Quebec,Hull,J8Y 3Z5,TRUE,Male,Bachelor,103495.0,TRUE,Married,Star,3842.79,Standard,2014-10-01,,TRUE,2014-10,,FALSE
193662,Canada,Yukon,Whitehorse,Y2K 6R0,TRUE,Male,Bachelor,51124.0,TRUE,Married,Star,3844.57,Standard,2012-05-01,,TRUE,2012-05,,TRUE
927943,Canada,Ontario,Toronto,P5S 6R4,TRUE,Female,College,,FALSE,Single,Star,3857.95,Standard,2014-06-01,,TRUE,2014-06,,FALSE
188893,Canada,Ontario,Trenton,K8V 4B2,TRUE,Male,Bachelor,100159.0,TRUE,Married,Star,3861.49,Standard,2016-12-01,,TRUE,2016-12,,FALSE
852392,Canada,Quebec,Montreal,H2Y 2W2,TRUE,Female,Bachelor,100159.0,TRUE,Married,Star,3861.49,Standard,2015-05-01,,TRUE,2015-05,,FALSE
866307,Canada,Ontario,Toronto,M8Y 4K8,TRUE,Male,Bachelor,100159.0,TRUE,Married,Star,3861.49,Standard,2016-10-01,,TRUE,2016-10,,FALSE
932823,Canada,British Columbia,Vancouver,V6E 3D9,FALSE,Female,Bachelor,66444.0,TRUE,Married,Star,3863.31,Standard,2015-03-01,,TRUE,2015-03,,FALSE
144514,Canada,British Columbia,Dawson Creek,U5I 4F1,FALSE,Female,Bachelor,49618.0,TRUE,Married,Star,3864.78,Standard,2016-06-01,,TRUE,2016-06,,FALSE
611765,Canada,Quebec,Quebec City,G1B 3L5,TRUE,Male,Bachelor,90175.0,TRUE,Single,Star,3867.97,Standard,2018-01-01,,TRUE,2018-01,,FALSE
988178,Canada,Quebec,Montreal,H4G 3T4,TRUE,Male,College,,FALSE,Single,Star,3871.07,Standard,2013-10-01,,TRUE,2013-10,,FALSE
286114,Canada,Ontario,Toronto,M2M 7K8,TRUE,Female,College,,FALSE,Single,Star,3872.22,Standard,2016-11-01,,TRUE,2016-11,,FALSE
205785,Canada,Ontario,Toronto,M2M 6J7,TRUE,Male,Master,128118.0,TRUE,Married,Star,3873.65,Standard,2016-08-01,,TRUE,2016-08,,FALSE
735304,Canada,Alberta,Edmonton,T3G 6Y6,TRUE,Female,Master,128118.0,TRUE,Married,Star,3873.65,Standard,2016-12-01,,TRUE,2016-12,,FALSE
438936,Canada,Quebec,Montreal,H2Y 2W2,TRUE,Male,Bachelor,94092.0,TRUE,Married,Star,3878.77,Standard,2013-10-01,,TRUE,2013-10,,FALSE
172755,Canada,Alberta,Edmonton,T3G 6Y6,TRUE,Female,College,,FALSE,Single,Aurora,5303.76,Promotion,2018-03-01,,TRUE,2018-03,,FALSE
354730,Canada,New Brunswick,Fredericton,E3B 2H2,TRUE,Female,College,,FALSE,Married,Star,3885.46,Standard,2014-10-01,2018-01-01,FALSE,2014-10,39,FALSE
